0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:25:40 +0800] "GET /FinacialSys/login HTTP/1.1" 200 2738
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:25:43 +0800] "POST /FinacialSys/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:25:43 +0800] "GET /FinacialSys/home HTTP/1.1" 200 6035
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:25:44 +0800] "GET /FinacialSys/userGroup HTTP/1.1" 200 4583
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:25:48 +0800] "GET /FinacialSys/agree?GID=2642822066 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:25:48 +0800] "GET /FinacialSys/userGroup HTTP/1.1" 200 6100
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:25:49 +0800] "GET /FinacialSys/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:25:49 +0800] "GET /FinacialSys/index HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:25:50 +0800] "GET /FinacialSys/login HTTP/1.1" 200 2738
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:25:52 +0800] "POST /FinacialSys/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:25:52 +0800] "GET /FinacialSys/home HTTP/1.1" 200 6089
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:25:53 +0800] "GET /FinacialSys/userGroup HTTP/1.1" 200 7767
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:25:57 +0800] "GET /FinacialSys/showMemberExpand?current=1&memberID=1601425817 HTTP/1.1" 200 7082
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:25:57 +0800] "GET /FinacialSys/assets/css/showMember.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:26:06 +0800] "GET /FinacialSys/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:26:06 +0800] "GET /FinacialSys/index HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:27:30 +0800] "GET /FinacialSys/login HTTP/1.1" 200 2738
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:27:46 +0800] "GET /FinacialSys/login HTTP/1.1" 200 2738
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:27:46 +0800] "GET /FinacialSys/assets/css/bootstrap-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:27:46 +0800] "GET /FinacialSys/assets/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:27:46 +0800] "GET /FinacialSys/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:27:46 +0800] "GET /FinacialSys/assets/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:27:46 +0800] "GET /FinacialSys/assets/js/jquery-3.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:27:46 +0800] "GET /FinacialSys/assets/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:27:46 +0800] "GET /FinacialSys/assets/img/logo-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:27:46 +0800] "GET /FinacialSys/assets/img/qq.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:27:46 +0800] "GET /FinacialSys/assets/img/wx.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:27:46 +0800] "GET /FinacialSys/assets/img/wb.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:27:46 +0800] "GET /FinacialSys/assets/img/m.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:27:46 +0800] "GET /FinacialSys/assets/img/indexBg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2017:19:27:46 +0800] "GET /FinacialSys/assets/img/l.png HTTP/1.1" 304 -
